Name,EIN,Category,Telephone,Address,City,State,Website,Facebook,Twitter,Income,Assests
a home 4 spot animal rescue ,27-3545831,Animal-Related,N/A, 1200 S 8TH ST  89104-1536,las vegas,Nevada,http://ahome4spot.com,,,"$321,144.00","$369,256.00"
a helping hand up nevada ,27-1141681,"Mental Health, Crisis Intervention",N/A, 2801 S VALLEY VIEW BLVD STE 6  89102-0166,las vegas,Nevada,,,,$0.00,$0.00
a grandmas heart foundation inc ,46-0792337,Human Services - Multipurpose and Other,N/A, 2730 WATKINS GLEN AVE  89052-3868,henderson,Nevada,,,,$0.00,$0.00
a glimpse of hope outreach services ,82-3167276,Human Services - Multipurpose and Other,N/A, 8361 ISLA VISTA VALLEY CT  89178-0000,las vegas,Nevada,,,,$0.00,$0.00
a father to the fatherless orphans fund ,47-1380202,Human Services - Multipurpose and Other,N/A, PO BOX 3390  89449-3390,stateline,Nevada,http://GIVE2ORPHANS.ORG,,,$0.00,$0.00
a doors open inc ,47-4283592,Health - General and Rehabilitative,N/A, 6955 N DURANGO DR STE 1115-145  89149-4411,las vegas,Nevada,,,,$1.00,$1.00
a choice for new beginnings community development corporation ,26-2185619,"Mental Health, Crisis Intervention",N/A, 3376 S EASTERN AVE STE 145  89169-3388,las vegas,Nevada,http://www.victimimpactlasvegas.com,,,$0.00,$0.00
a chance connection ,86-0851930,Human Services - Multipurpose and Other,N/A, 9309 SCENIC MOUNTAIN LN  89117-6403,las vegas,Nevada,http://www.missingchildacc.org,,,$0.00,$0.00
a c endlein scholarship tr 1200770300 ,88-6018435,,N/A, 6325 S RAINBOW BLVD STE 300  89118-3278,las vegas,Nevada,,,,"$71,953.00","$99,432.00"
a public fit corporation ,46-4761732,"Arts, Culture and Humanities",N/A, 1312 CANOSA AVE  89104-3132,las vegas,Nevada,,,,"$67,574.00","$9,275.00"
a place called home ,30-0812303,"Housing, Shelter",N/A, 7900 CONSTANTINOPLE AVE  89129-5598,las vegas,Nevada,,,,"$71,500.00","$6,562.00"
a patriots legacy foundation ,81-0820093,"Public, Society Benefit - Multipurpose and Other",N/A, PO BOX 530925  89053-0925,henderson,Nevada,,,,$0.00,$0.00
a path 4 paws dog rescue ,82-2194200,Animal-Related,N/A, 422 E RANCH RD  89020-9753,amargosa vly,Nevada,,,,$0.00,$0.00
a new day community health center inc ,47-1608870,"Mental Health, Crisis Intervention",N/A, 3085 E FLAMINGO RD STE A  89121-4385,las vegas,Nevada,,,,"$63,221.00","$60,600.00"
a new day adult daycare ii ,82-0892019,Health - General and Rehabilitative,N/A, 544 S DECATUR BLVD  89107-3911,las vegas,Nevada,,,,$0.00,$0.00
a n u m e ,82-1376992,Youth Development,N/A, 9436 MEDFORD FALLS AVE  89149-0143,las vegas,Nevada,,,,$0.00,$0.00
a more perfect union ,26-0177004,"Arts, Culture and Humanities",N/A, 620 HIDDEN VALLEY DR  89002-8308,henderson,Nevada,,,,$0.00,$0.00
a lift up org ,04-3702435,Human Services - Multipurpose and Other,N/A, 1603 ALANS PL  89801-7971,elko,Nevada,,,,"$102,877.00","$2,142.00"
a level playing field foundation ,46-2175620,Educational Institutions and Related Activities,N/A, 5127 SPANISH HEIGHTS DR  89148-1421,las vegas,Nevada,,,,"$57,509.00","$24,926.00"
a joyful rendering foundation ,81-0947566,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, 677 CHEPSTOW AVE  89178-1245,las vegas,Nevada,,,,"$2,152.00",$1.00
a youth achievement for success ,82-1363648,Youth Development,N/A, 222 KAREN AVE UNIT 2101  89109-5304,las vegas,Nevada,,,,$0.00,$0.00
a woman s foundation inc ,47-4989176,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, PO BOX 270433  89127-4433,las vegas,Nevada,,,,"$1,330.00",$535.00
a v a ballet theatre a v a & company ballet theatre,88-0514880,"Arts, Culture and Humanities",N/A, 73 W PLUMB LN  89509-3414,reno,Nevada,,,,"$349,301.00","$159,007.00"
a time to dance inc ,47-4600088,"Arts, Culture and Humanities",N/A, 2510 ANTHEM VILLAGE DR STE 110  89052-5555,henderson,Nevada,http://atimetodancelv.org,,,$0.00,$0.00
a time in history incorporated ,35-2257615,"Arts, Culture and Humanities",N/A, 3910 PECOS MCLEOD CONNECT NO B-100  89121-4304,las vegas,Nevada,,,,"$21,908.00","$26,282.00"
a team nv ,81-2516974,Human Services - Multipurpose and Other,N/A, 6050 S BUFFALO DR  89113-2154,las vegas,Nevada,http://www.ateamnv.com,,,$0.00,$0.00
a source of joy theatricals inc broadway in the hood,27-1045710,"Arts, Culture and Humanities",N/A, 3565 LAS VEGAS BLVD S  89109-8919,las vegas,Nevada,http://broadwayinthehood.org,,,"$302,747.00",$1.00
a song in their hearts ,81-2513879,"Arts, Culture and Humanities",N/A, 1220 BASIN BROOK DR  89032-7845,n las vegas,Nevada,,,,"$6,000.00",$1.00
a second chance for w i n g s ,71-0964107,Human Services - Multipurpose and Other,N/A, 4221 TOTANO DR  89032-2667,n las vegas,Nevada,http://Select,,,$0.00,$0.00
a restored life ,82-3810256,Health - General and Rehabilitative,N/A, 9509 WALKING SPIRIT CT  89129-7899,las vegas,Nevada,,,,$0.00,$0.00
a public service corp ,26-4483380,"Community Improvement, Capacity Building",N/A, 28 MANOR HILL AVE  89183-5669,las vegas,Nevada,http://A Public Service Corp,,,$0.00,$0.00
abbas house ,90-0764593,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, 11351 WINTER COTTAGE PL  89135-1705,las vegas,Nevada,,,,"$501,576.00","$1,465,089.00"
abandoned babies christian ministries abandoned babies,33-1054102,"Religion-Related, Spiritual Development",N/A, 1350 E FLAMINGO RD STE 3219  89119-5263,las vegas,Nevada,,,,$0.00,$0.00
aaun endowment fund inc ,88-0296894,School or college athletic association,N/A, MAIL STOP 162  89557-0001,reno,Nevada,,,,"$857,182.00","$6,973,538.00"
aaron arnoldsen memorial scholarship fund ,20-0031216,Educational Institutions and Related Activities,N/A, 1325 AIRMOTIVE WAY STE 220  89502-3240,reno,Nevada,,,,"$41,020.00","$3,118.00"
aadf legacy airbase inc legacy airbase,47-4521576,"Arts, Culture and Humanities",N/A, 1894 E WILLIAM ST SUITE 4451  89701-3224,carson city,Nevada,,,,$0.00,$0.00
aact booster club ,47-4097688,Educational Institutions and Related Activities,N/A, 380 EDISON WAY  89502-2308,reno,Nevada,,,,$0.00,$0.00
aace international nevada section,88-0305968,Other school related activities,N/A, 1208 BENICIA HILLS ST  89144-1234,las vegas,Nevada,,,,$0.00,$0.00
aaa job search and developement ,88-0354834,Youth Development,N/A, 3416 BECA FAITH DR  89032-7956,n las vegas,Nevada,,,,$0.00,$0.00
a4a inc ,47-1277211,"Community Improvement, Capacity Building",N/A, 3773 HOWARD HUGHES PKWY  89169-0949,las vegas,Nevada,,,,$0.00,$0.00
a-nation ,46-1316892,"Arts, Culture and Humanities",N/A, 270 E HORIZON DR STE 103  89015-8037,henderson,Nevada,,,,$0.00,$0.00
a youth empowerment for success ,47-5570666,Human Services - Multipurpose and Other,N/A, 6376 LORNE GREEN AVE UNIT 101  89011-2238,henderson,Nevada,,,,$0.00,$0.00
absolute transformation ,47-3666521,Youth Development,N/A, 251JEANELLDRSTE3  89703-0000,carsoncity,Nevada,http://www.absolute-transformation.org,,,$0.00,$0.00
absolute angels foundation cdc ,46-5035948,Human Services - Multipurpose and Other,N/A, 6842 FERAL DOVE ST  89084-2680,n las vegas,Nevada,,,,$0.00,$0.00
abraham & sonia rochlin foundation ,94-1696244,Gifts grants or loans to other organizations,N/A, 3690 GRANT DRIVE NO I-2  89509-5360,reno,Nevada,,,,"$7,200,562.00","$26,263,637.00"
able academy ,47-4005958,Educational Institutions and Related Activities,N/A, 685 E GLENDALE AVE  89431-5812,sparks,Nevada,,,,"$41,750.00","$2,273.00"
abigail children international house inc ,26-3111677,Human Services - Multipurpose and Other,N/A, 3240 LAS VEGAS BLVD N APT 114  89115-1537,las vegas,Nevada,http://www.abigailchi.org,,,"$15,182.00",$1.00
abundant life community church ,94-3214287,"Religion-Related, Spiritual Development",N/A, 4367 W CHARLESTON BLVD  89102-1603,las vegas,Nevada,,,,$0.00,$0.00
abundant life christian academy ,36-4656496,Underwriting municipal insurance,N/A, 1720 J ST  89106-2506,las vegas,Nevada,,,,$0.00,$0.00
abundance international inc ,20-3354801,"International, Foreign Affairs and National Security",N/A, 5402 DILLWEED CT  89031-0484,n las vegas,Nevada,,,,$0.00,$0.00
abc organization inc ,45-4998156,Human Services - Multipurpose and Other,N/A, 1516 E TROPICANA AVE STE 291  89119-8343,las vegas,Nevada,,,,$0.00,$1.00
abc nevada chapter southern division apprenticeship trust fund ,88-0264118,Apprentice training,N/A, 5070 ARVILLE ST STE 4  89118-4904,las vegas,Nevada,,,,"$392,599.00","$704,763.00"
abc nevada chapter northern division apprenticeship trust fund ,94-2962294,Apprentice training,N/A, 240 S ROCK BLVD STE 121  89502-2366,reno,Nevada,,,,"$329,647.00","$221,358.00"
ace mentor program of america inc ace mentor program of southern neva,47-4824031,Educational Institutions and Related Activities,N/A, 8920 W TROPICANA AVE  89147-8132,las vegas,Nevada,,,,"$18,558.00","$10,562.00"
accessible trails foundation inc ,81-2198398,"Recreation, Sports, Leisure, Athletics",N/A, 8844 CORTILE DR  89134-6141,las vegas,Nevada,,,,$0.00,$0.00
access to healthcare network inc ,72-1619489,Health - General and Rehabilitative,N/A, 4001 S VIRGINIA ST STE F  89502-6029,reno,Nevada,,,,"$8,337,543.00","$2,168,230.00"
access for community & cultural education programs & trainings a c c e p t,88-0409948,Health - General and Rehabilitative,N/A, 2400 W 7TH ST  89503-3334,reno,Nevada,,,,"$104,164.00","$65,133.00"
academy of biomimetic dentistry ,45-4182107,Educational Institutions and Related Activities,N/A, 943 S WELLS AVE  89502-2521,reno,Nevada,,,,"$96,567.00","$2,896.00"
academy futbol club ,20-8735642,"Recreation, Sports, Leisure, Athletics",N/A, 4169 ABRAMS AVE  89110-5781,las vegas,Nevada,,,,$0.00,$0.00
academics-basketball-citizenship inc ,88-0299247,Youth Development,N/A, 5426 UKIAH CIR  89118-1926,las vegas,Nevada,,,,$0.00,$0.00
academics & athletics connection lv stars inc ,88-0407332,"Recreation, Sports, Leisure, Athletics",N/A, 1016 E ROME BLVD  89086-1351,n las vegas,Nevada,http://aaclvstars.com,,,$0.00,$0.00
academic coaching services acs foundation inc ,88-0429919,Educational Institutions and Related Activities,N/A, 3540 W SAHARA AVE 129  89102-5816,las vegas,Nevada,http://www.academicoaching.com,,,$0.00,$0.00
abus foundation for the children of africa ,61-1611461,"International, Foreign Affairs and National Security",N/A, PO BOX 81154  89180-1154,las vegas,Nevada,http://www.africanstarvingchildren.org,,,$0.00,$0.00
abundant life foundation ,46-3569790,Unknown,N/A, 1305 IMPERIA DR  89052-4054,henderson,Nevada,,,,"$2,490,725.00","$6,727,624.00"
adair family foundation ,81-3935813,,N/A, 1500 CANYON LEDGE CT  89117-1491,las vegas,Nevada,,,,$0.00,$0.00
acts ministries inc ,88-0449799,"Religion-Related, Spiritual Development",N/A, 1135 TERMINAL WAY STE 208B  89502-2168,reno,Nevada,,,,$0.00,$0.00
acts 2 42 retreats ministries inc ,88-0401218,"Religion-Related, Spiritual Development",N/A, PO BOX 2888  89432-2888,sparks,Nevada,,,,$0.00,$0.00
active youth against obesity ayao,47-1371728,Youth Development,N/A, 10192 S MARYLAND PKWY APT 1007  89183-7332,las vegas,Nevada,http://www.activeyouthagainstobesity.org,,,$0.00,$0.00
active volunteers in douglas ,01-0887922,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, PO BOX 1057  89423-1057,minden,Nevada,http://www.douglasvolunteers.org,,,$0.00,$0.00
active 20-30 united states and canada 85 carson valley,72-1558200,"Arts, Culture and Humanities",N/A, PO BOX 2030  89410-2030,gardnerville,Nevada,,,,"$91,190.00","$89,539.00"
actionn acting in community together,80-0732126,Human Services - Multipurpose and Other,N/A, 627 SUNNYSIDE DR  89503-3515,reno,Nevada,,,,"$187,046.00","$121,928.00"
action academy of learning leading & training ,47-4232873,Human Services - Multipurpose and Other,N/A, PO BOX 33631  89533-3631,reno,Nevada,,,,"$64,470.00","$12,321.00"
achievement beyond obstacles ,82-1373226,"Public, Society Benefit - Multipurpose and Other",N/A, 230 RHODES RD  89521-9654,reno,Nevada,,,,$0.00,$0.00
achi foundation inc ,45-1008997,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, 1291 WOLF RUN RD  89511-4798,reno,Nevada,,,,$0.00,$0.00
acf chefs las vegas ,88-0277298,200,N/A, PO BOX 93933  89193-3933,las vegas,Nevada,http://www.acfchefslasvegas.org,,,$0.00,$0.00
advanced resource method solutions inc arms,47-2568450,Human Services - Multipurpose and Other,N/A, PO BOX 1090  89041-1090,pahrump,Nevada,,,,"$11,181.00","$1,335.00"
advanced practice provider executives inc ,46-2999912,Unknown,N/A, 3773 HOWARD HUGHES PKWY STE 500  89169-5940,las vegas,Nevada,,,,"$124,601.00","$49,831.00"
advance his kingdom ministries ,47-1409729,"Religion-Related, Spiritual Development",N/A, 2381 ECLIPTIC ST  89044-1561,henderson,Nevada,,,,$0.00,$0.00
advance covenant church las vegas nv ,27-5245333,,N/A, 8665 W FLAMINGO RD STE 114  89147-8623,las vegas,Nevada,,,,$0.00,$0.00
adriennes smile ,26-4221303,Health - General and Rehabilitative,N/A, PO BOX 18795  89511-0795,reno,Nevada,,,,$0.00,$0.00
adoption awareness foundation inc ,45-4929345,Human Services - Multipurpose and Other,N/A, 7260 W AZURE DR STE 140  89130-4413,las vegas,Nevada,,,,"$9,052.00",$684.00
adopt-a-rescue-pet ,88-0487028,Animal-Related,N/A, 1500 E TROPICANA AVE STE 105  89119-6595,las vegas,Nevada,,,,$0.00,$0.00
adm defense foundation ,27-5496259,"Arts, Culture and Humanities",N/A, 4625 WEST NEVSO DRIVE 150  89103-7702,las vegas,Nevada,,,,$0.00,$0.00
addicted to hope ,20-5976264,Human Services - Multipurpose and Other,N/A, PO BOX 530381  89053-0381,henderson,Nevada,,,,$0.00,$0.00
adamsheart foundation ,46-5472198,"Recreation, Sports, Leisure, Athletics",N/A, 2012 ARDILEA ST  89135-3337,las vegas,Nevada,http://www.adamsheart.org,,,$0.00,$0.00
adams place ,27-3388238,"Mental Health, Crisis Intervention",N/A, 601 S RANCHO DR BUILDING C  89106-4899,las vegas,Nevada,http://www.adamsplaceforgrief.org,,,"$72,614.00","$1,205.00"
aega ministries international ins jesus reigns ministries inc,80-0289334,Church synagogue etc,N/A, 8471 BENIDORM AVE  89178-4805,las vegas,Nevada,,,,$0.00,$0.00
aega ministries international inc ambassadors for christ,26-0069663,Church synagogue etc,N/A, 325 S 3RD STE 1PMB 2213  89101-6003,las vegas,Nevada,,,,$0.00,$0.00
advocates to end domestic violence ,94-2665387,Human Services - Multipurpose and Other,N/A, 32 SIERRA AVE  89703-0000,carson city,Nevada,,,,"$1,419,484.00","$3,734,421.00"
advocates for victims of abuse ava casa,26-3966611,Human Services - Multipurpose and Other,N/A, 1038 GRASS VALLEY RD STE G  89445-6038,winnemucca,Nevada,http://www.humboldtava.com,,,$0.00,$0.00
advocates for rural community health ,47-4422574,Health - General and Rehabilitative,N/A, 2185 MAPLE LEAF TRL  89523-3832,reno,Nevada,,,,$0.00,$0.00
advocates for american disabled individuals foundation inc ,81-1177119,"Civil Rights, Social Action, Advocacy",N/A, 515 W FOURTH ST  89703-4255,carson city,Nevada,,,,$0.00,$0.00
advocate legacy a nevada non-profit corporation ,81-3957204,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, 2111 HANDEL AVE  89052-5716,henderson,Nevada,,,,$0.00,$0.00
advertising association of northern nevada ,88-0451481,"Community Improvement, Capacity Building",N/A, PO BOX 12333  89510-2333,reno,Nevada,,,,"$60,126.00","$51,609.00"
adventures in life ,95-4434963,"Religion-Related, Spiritual Development",N/A, 3243 E WARM SPRINGS RD STE 116  89120-3189,las vegas,Nevada,,,,$0.00,$0.00
adventure assembly of god ,37-1576328,Church synagogue etc,N/A, 270 HERCULES DR  89441-9213,sparks,Nevada,,,,$0.00,$0.00
advantage education foundation ,90-0762830,Educational Institutions and Related Activities,N/A, 9811 W CHARLESTON STE 2-840  89117-7528,las vegas,Nevada,http://www.advantageeducationfoundation.org,,,$0.00,$0.00
afri ollywood incorporate ,47-5192625,"Arts, Culture and Humanities",N/A, 4549 SUNDAY RIVER ST  89122-5247,las vegas,Nevada,http://www.afriollywood.com,,,$0.00,$0.00
afl-cio retirees council of southern nevada southern nevada,88-0318958,Improvement of conditions of workers,N/A, 4201 E BONANZA RD  89110-2282,las vegas,Nevada,,,,$0.00,$0.00
afghan womens writing project inc ,27-2240112,"International, Foreign Affairs and National Security",N/A, 8321 W SAHARA AVE APT 2054  89117-1885,las vegas,Nevada,http://awwproject.org,,,"$92,112.00","$3,821.00"
affordable housing program inc ,88-0465561,"Housing, Shelter",N/A, 340 N 11TH ST  89101-3125,las vegas,Nevada,,,,"$2,519,828.00","$11,884,403.00"
affordable housing management assoc-northern california and hawa ,94-2861553,Professional association,N/A, 2505 ANTHEM VILLAGE DRIVE NO E497  89052-5505,henderson,Nevada,,,,"$737,517.00","$174,198.00"
affordable housing foundation of southern nevada inc ,81-2090615,"Housing, Shelter",N/A, PO BOX 81585  89180-1585,las vegas,Nevada,,,,$0.00,$0.00
affordable housing foundation inc ,81-2404776,"Housing, Shelter",N/A, PO BOX 370818  89137-0818,las vegas,Nevada,,,,$0.00,$0.00
affordable housing for everyone inc ,65-1264070,Educational Institutions and Related Activities,N/A, 3536 SUMMERSPRINGS DR  89129-6396,las vegas,Nevada,,,,$0.00,$0.00
affinity child and family services ,81-3733318,Human Services - Multipurpose and Other,N/A, 1771 E FLAMINGO RD  89119-5155,las vegas,Nevada,mailto:ACFS@GMAIL.COM,,,$0.00,$0.00
afcea educational foundation las vegas chapter,26-0075298,Educational Institutions and Related Activities,N/A, PO BOX 9786  89191-0786,nellis afb,Nevada,http://lasvegas.afceachapters.org/,,,$0.00,$0.00
aejis inc ,46-5046851,Human Services - Multipurpose and Other,N/A, 187 E WARM SPRINGS RD SUITE B158  89119-4110,las vegas,Nevada,http://www.aejis.org,,,$0.00,$0.00
agape hospice and palliative care ,47-4105248,Human Services - Multipurpose and Other,N/A, PO BOX 1063  89820-1063,battle mtn,Nevada,,,,$0.00,$0.00
agape christian fellowship ,86-0889213,"Religion-Related, Spiritual Development",N/A, 613 W MONROE AVE  89106-3134,las vegas,Nevada,,,,$0.00,$0.00
agape bible fellowship christiancenter ,20-3952847,"Religion-Related, Spiritual Development",N/A, 7744 ARDEN GROVE ST  89113-4028,las vegas,Nevada,,,,$0.00,$0.00
agape assemblies ,75-2111161,Church synagogue etc,N/A, PO BOX 2446  89505-2446,reno,Nevada,,,,$0.00,$0.00
agape animal sanctuary ,46-5292510,Animal-Related,N/A, 1325 VEGAS VALLEY DRIVE  89169-6218,las vegas,Nevada,,,,$0.00,$0.00
agape love np agape,47-3033261,Human Services - Multipurpose and Other,N/A, 3650 N RANCHO DR STE 106  89130-3151,las vegas,Nevada,,,,$0.00,$0.00
against all odds counseling center inc ,27-4032345,Human Services - Multipurpose and Other,N/A, 1100 PEPPER LN  89408-5653,fernley,Nevada,,,,$0.00,$0.00
african union of northern nevada charities aunn charities,80-0686323,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, 40 ANTREKA CT  89436-8972,sparks,Nevada,http://www.aunn.org,,,$0.00,$0.00
african predator conservation research organization inc ,45-2449892,Animal-Related,N/A, 848 N RAINBOW BLVD A3  89107-1103,las vegas,Nevada,http://apcro.org,,,$0.00,$0.00
african american health care organization ,81-2687267,Human Services - Multipurpose and Other,N/A, 800 N RAINBOW BLVD STE 105  89107-1190,las vegas,Nevada,,,,$0.00,$0.00
africa foundation usa ,88-0461880,"International, Foreign Affairs and National Security",N/A, 5390 KIETZKE LN STE 202  89511-3028,reno,Nevada,,,,"$663,814.00","$892,672.00"
aglow international 1291027 reno nv prison neighborhood,88-0408115,,N/A, 5331 MADEIROS DR  89433-7837,sun valley,Nevada,,,,$0.00,$0.00
